answer,pack,dncahPack
100 pounds of bull semen,The Game Without Decency,CAH & Expansions
100 tons of Mafia concrete.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
100 wheelchair-bound children rolling around in the back of a C-5.,Disgruntled Decks: Air Force Edition,Military
"100,000 dollars, alcohol, and 4 weeks of vacation.",Voter's Choice: The Third Expansion,CAH & Expansions
100% accurate gaydar.,WTF Did You Say?!?,CAH & Expansions
100% All-Beef Thermometer.,"Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
100% certified human breast milk.,CAH PAX Prime 2014 Custom Printed Cards,CAH & Expansions
100% hearthfelt compassion.,Hilarious!,CAH & Expansions
100% Pure New Zealand.,CAH Base Set,CAH & Expansions
12-hour Netflix marathons,Cards Against Profanity,CAH & Expansions
"12,000 ants.",Voter's Choice: The Fourth Expansion,CAH & Expansions
"14 cheeseburgers, 6 large fries, and a medium Sprite.",CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
"144,000 lbs. of cheese",Dick,CAH & Expansions
15 wild badgers living in my trousers.,Carbs of the Huge Manatee: General Expansion 3,CAH & Expansions
16 years of service and my pay still sucks.,Charlie Foxtrot,Military
172 thumbtacks,The Game Without Decency,CAH & Expansions
1790,Disgruntled Decks: Coast Guard/Coastie Edition,Military
18 books on how to fail as a parent,Cads About Maternity - A game for bad mommies,Parenthood
1am drink requests,KinderPerfect (Commercial Set),Parenthood
1st Degree Murder,Personally Incorrect,Personal
1st grade social calendars,KinderPerfect (Commercial Set),Parenthood
1st place in the talent show,Cards Against Profanity,CAH & Expansions
1st Sgt's second ex-wife.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
2 girls 1 cockroach,Pigs Against Profanity: Volume 1,CAH & Expansions
2 Girls 1 Cup.,CAH Base Set,CAH & Expansions
2.5 kids.,Babies vs. Parents,Parenthood
2% Milk,Cows Grilling Hamburgers - Patty Pack #1,CAH & Expansions
20 fuckin whacks…,Kiwis Against Morality,New Zealand
20 pieces of sweet Chicken McNugget goodness.,Clones Attack Hilarity #1,CAH & Expansions
20 years of paid maternity leave,Cads About Maternity - A game for bad mommies,Parenthood
"20,000 Leagues Under the Sea™",Kids Against Maturity,Kids
200 lusty seamen on shore for just one night,Evil Apples,CAH & Expansions
200 years of slavery.,CAH 2014 Holiday Pack,CAH & Expansions
20g of street tik,Cards Against/For South Africa,South Africa
20g of Street tik.,Hilarious!,CAH & Expansions
23-star Sheriff David Clarke.,Trumped UpCards: Many Sides  Expansion Pack,Elections & Donald Trump
24-hour media coverage.,CAH Fifth Expansion,CAH & Expansions
25 shitty jokes about House of Cards.,CAH House of Cards Pack,House of Cards
27 tonnes of 1080 pellets,Kiwis Against Morality,New Zealand
27 tonnets of 1080 pellets,Kiwis Versus Morality,New Zealand
2nd child issues,KinderPerfect: A Timeout For Parents (Kickstarter Set),Parenthood
3 Dimensional spatial awarness.,Hilarious!,CAH & Expansions
3 egg omelettes.,Hilarious!,CAH & Expansions
3 positive pregnancy tests and still not convinced,KinderPerfect (Commercial Set),Parenthood
3 veiny Triumphant black dicksTongue punching Donald Trump`s turd tunnel,Pigs Against Profanity: Volume 2,CAH & Expansions
3.7 billion women.,Crabs Adjust Humidity: Volume 6,CAH & Expansions
3.7 billion years of evolution.,CAH Science Pack,CAH & Expansions
3.9 billion years of evolution.,Cakes Athirst Hilarity Volume 1,CAH & Expansions
"3/4th ounce of bitters, another 3/4th ounce of bitters, yet another 3/4th ounce of bitters, 3 ounces of orange bitters, 3 ounces of gin in a tall glass over ice. Garnish with an orange slice and tears.",Carbs of the Huge Manatee: General Expansion 3,CAH & Expansions
30 grown adults crawling around on all-fours.,CAH Theatre Pack - CATS Musical Pack,CAH & Expansions
30 shirtless bears emerging from the fog.,CAH Pride Pack,CAH & Expansions
"300 days of sunshine, 365 days of white people.",The Worst Card Game: Colorado Edition,Colorado
33 year old grandmothers in West Auckland,Kiwis Versus Morality,New Zealand
38-Double Ds,Personally Incorrect,Personal
380 grams of heroin.,"Crows Adopt Vulgarity, Vol. 4",CAH & Expansions
39 frozen Vietnamese immigrants.,Pigs Against Profanity: Volume 3,CAH & Expansions
3d Cavalry Regiment's drivers training program.,Disgruntled Decks: Army Edition,Military
3D printed sex toys.,Clones Attack Hilarity #1,CAH & Expansions
4 wraps of heroin,Pigs Against Profanity: Volume 1,CAH & Expansions
40 acres and a mule.,CAH Blue Box Expansion,CAH & Expansions
400 years of colonial atrocities.,CAH Base Set,CAH & Expansions
41 million Americans living in poverty.,CAH Gen Con 2018 Midterm Election Pack,Elections & Donald Trump
42 Happy Meal toys,The Game Without Decency,CAH & Expansions
420,Cads Against Adulting,Adulting
48 hour labor,KinderPerfect (Commercial Set),Parenthood
5 de Mayo celebrations.,Bad Hombres Against Fake News Pack 1,Elections & Donald Trump
50 bullets dipped in pig's blood.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
50 dollars' worth of cereal.,Cads Against Adulting,Adulting
50 mg of Zoloft daily.,CAH Base Set,CAH & Expansions
50 Shades of Haze Gray.,Disgruntled Decks: Navy Edition,Military
50 Shades of Off-White.,Carbs of the Huge Manatee - Kink Expansion 1,Dirty
50 skeins of acrylic yarn.,Knitters Against Swatches First Edition,Knitting
"50,000 volts straight to the nipples.",CAH Base Set,CAH & Expansions
500 hours of court-ordered community service.,Hilarious!,CAH & Expansions
500 sporks,The Game Without Decency,CAH & Expansions
6 year old with a smartphone,KinderPerfect (Commercial Set),Parenthood
6-inch heels,The Game Without Decency,CAH & Expansions
63 new messages saying either “Hay” or “Wanna fuck?”,Carbs of the Huge Manatee - Online Dating Expansion 1,Dating
64 slices of American cheese.,Cads Against Adulting,Adulting
69,Dirty Nasty Filthy,Dirty
69ing,Personally Incorrect,Personal
69ing a dirty vagina.,Cakes Athirst Hilarity Volume 2,CAH & Expansions
69ing at the bottom of a Burger King ball pit,Evil Apples,CAH & Expansions
7 Blows with a crowbar on the uppper lip.,Hilarious!,CAH & Expansions
"7 shoes, no pairs",KinderPerfect (Commercial Set),Parenthood
70 Year Old Prostitute(s),Personally Incorrect - Expansion [Red Box],Personal
70-year-olds who are in better shape than me,Cards Against Profanity,CAH & Expansions
"70,000 gamers sweating and farting inside an airtight steel dome.",CAH PAX Prime 2013,CAH & Expansions
70's bush.,"Guards Against Insanity, Edition 4",CAH & Expansions
70's porn complete with a hairy bush.,WTF Did You Say?!?,CAH & Expansions
70s bush.,CAH Everything Box Expanion,CAH & Expansions
72 virgins and 1 mission.,WTF Did You Say?!?,CAH & Expansions
"72 Virgins, all of whom are babies.","Crows Adopt Vulgarity, Vol. 4",CAH & Expansions
72 virgins.,CAH Base Set,CAH & Expansions
72 virgins.,Humanity Hates Trump: Base Set,Elections & Donald Trump
8 oz. of sweet Mexican black-tar heroin.,CAH Base Set,CAH & Expansions
"8-year olds, dude.",Cards and Punishment Vol. Two,CAH & Expansions
"8,000 baby blankets",Cads About Maternity - A game for bad mommies,Parenthood
8=======D,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Dirty
8th Grade and Pregnant.,"Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
9 inch dildo,Dirty Nasty Filthy,Dirty
9/11 but with monkeys.,CAH Everything Box Expanion,CAH & Expansions
9/11 was an inside job.,WTF Did You Say?!?,CAH & Expansions
9/11: Forgive and forget.,The Worst Card Game: 2016 National Edition,CAH & Expansions
9/11.,Cakes Athirst Hilarity Volume 2,CAH & Expansions
93-year-old virgin voters.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
939 Million 3000 and 60000 members,Cards Against/For South Africa,South Africa
939 million 3000 and 60000 members,Hilarious!,CAH & Expansions
99 bottles of beer,The Game Without Decency,CAH & Expansions
"A .50 cal round tearing through 3 torsos, 2 heads, and a hotdog cart.",Disgruntled Decks: Army Edition,Military
"A ""Get Well Soon!"" balloon from Paul Ryan.",Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Elections & Donald Trump
"A ""Happy Valentine's Day"" Card from AshleyMadison.com.","Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
"A ""hardly noticeable"" herpes sore",The Game Without Decency,CAH & Expansions
"A ""high speed"" specialist saving the 237th Sapper Co. from a disastrous mixture of live rounds and blanks.",Disgruntled Decks: Army Edition,Military
"A ""not stolen"" Holden Commodore",Kiwis Versus Morality,New Zealand
"A ""personal massager""",The Game Without Decency,CAH & Expansions
"A ""Proud Parent of Cannon Fodder"" bumper sticker.",Disgruntled Decks: Marine Corps/Jarhead Edition,Military
"A ""Trump Teens Pedicure Sundae.""",Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Elections & Donald Trump
"A ""World's Biggest Asshole"" trophy",The Game Without Decency,CAH & Expansions
A “boudoir-style” photoshoot that turns into something else.,Carbs of the Huge Manatee - Kink Expansion 1,Dirty
A “business trip.”,Cads About Matrimony,Matrimony
"A $1,000 check from Cards Against Humanity!",CAH Saves America Pack,CAH & Expansions
a $100 plaid shirt,Skewered And Roasted,CAH & Expansions
A $19.99 do it yourself wedding,Cards for the Masses,CAH & Expansions
"A $2,000 enlistment bonus that definitely wasn't worth it.",Disgruntled Decks: Army Edition,Military
A $20 bill with Harriet Tubman's face on it.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Elections & Donald Trump
A $300 banana suit.,Carps & Angsty Manatee - Volume 1,CAH & Expansions
A $50 cup of coffee literally made from cat shit.,Crabs Adjust Humidity: Volume 1,CAH & Expansions
"A $90 million, full-size replica of Noah's Ark.",Cols Against Kentucky 2,Kentucky
A 0.7 waist-to-hip ratio.,CAH Science Pack,CAH & Expansions
A 10 pount jar of ointment.,Clones Attack Hilarity #1,CAH & Expansions
A 10-minute shit on company time.,"Crows Adopt Vulgarity, Vol. 4",CAH & Expansions
A 100-pound teenager who thinks she's fat.,Cards With No Sexuality,CAH & Expansions
A 103° fever.,Fun in the Oven,CAH & Expansions
"A 12 inch dick, a dozen roses, and a pick-up truck","Clams Attempt Harmonica, Volume 1",CAH & Expansions
A 12 pack of Cody's,Kiwis Against Morality,New Zealand
a 12 year old,Skewered And Roasted,CAH & Expansions
A 12-foot scepter of bone.,CAH Absurd Box Expansion,CAH & Expansions
"A 15 minute blowjob… No more, no less.",WTF Did You Say?!?,CAH & Expansions
"A 15-6 investigating the pathetic, plodding death of your career.",Disgruntled Decks: Army Edition,Military
A 15-minute time-out in the Naughty Corner.,"Crows Adopt Vulgarity, Vol. 1",CAH & Expansions
A 15-yard penalty for excessive sue of the First Amendment.,Trumped UpCards: Many Sides  Expansion Pack,Elections & Donald Trump
A 15cm long dick.,Hilarious!,CAH & Expansions
A 1970's bush.,Cows Grilling Hamburgers - Patty Pack #1,CAH & Expansions
A 1987 Ford Fiesta,The Game Without Decency,CAH & Expansions
A 2 EPR that was truly deserved.,Disgruntled Decks: Air Force Edition,Military
A 20 piece chicken nugget meal for one person,Cards for the Masses,CAH & Expansions
A 20+ year age gap between you and your partner.,Carbs of the Huge Manatee - Kink Expansion 1,Dirty
a 24 percent equity stake in reality.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
A 28 week abortion.,"Guards Against Insanity, Edition 1",CAH & Expansions
a 3 hour boner,Skewered And Roasted,CAH & Expansions
A 3-1/2 pound shit baby.,Crabs Adjust Humidity: Volume 6,CAH & Expansions
A 3-foot tapeworm,The Game Without Decency,CAH & Expansions
A 3-hour SECRET flight brief for a 45-minute flight. #WasteMyFuckingTime,Disgruntled Decks: Navy Edition,Military
A 3-year-old nudist,KinderPerfect (Commercial Set),Parenthood
A 30 thousand dollar millionaire.,Carps & Angsty Manatee - Texas Edition,Texas
"A 300 horsepower, turbo charged vibrator.",WTF Did You Say?!?,CAH & Expansions
A 300-lb dresses as Princess Leia,The Game Without Decency,CAH & Expansions
A 34-hour SAR mission.,Disgruntled Decks: Coast Guard/Coastie Edition,Military
A 4 lb. turd log splash that causes blue shitter water to coat your ass cheeks.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
A 40 year old scotch and a 10 year old girl,"Clams Attempt Harmonica, Volume 1",CAH & Expansions
a 40 year old virgin,Skewered And Roasted,CAH & Expansions
A 45 percent tariff on free speech.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
A 48-year-old specialist who enlisted under mysterious circumstances.,Disgruntled Decks: Army Edition,Military
A 5 lb. bag of gummy bears.,Crabs Adjust Humidity: Volume 2,CAH & Expansions
A 5-gallon bucket of used condoms.,Crabs Adjust Humidity: Volume 7,CAH & Expansions
A 5-speed shower nozzle,The Game Without Decency,CAH & Expansions
a 50 cent mix from the dairy,Kiwis Versus Morality,New Zealand
A 50 Shades of Grey sex party.,Clones Attack Hilarity #2,CAH & Expansions
A 50% divorce rate.,Cads About Matrimony,Matrimony
A 55-gallon drum of lube.,CAH Red Box Expansion,CAH & Expansions
A 6-hour conversation on gender and queer theory.,CAH Pride Pack,CAH & Expansions
a 6-pack,Skewered And Roasted,CAH & Expansions
A 6-pack of Red Bull,The Game Without Decency,CAH & Expansions
A 7-Eleven clerk coming off a three-day shift,The Game Without Decency,CAH & Expansions
A 7-year-old pageant contestant,The Game Without Decency,CAH & Expansions
A 70 y/o woman wearing a neon Stephen West shawl.,Knitters Against Swatches First Edition,Knitting
A 70-year-old gut truck driver exchanging snacks for hand jobs.,Disgruntled Decks: Army Edition,Military
A 70s porn star bush,Depravity,Depravity
A 8-foot-tall walking carpet.,Words Against Morality: Volume 3,CAH & Expansions
A 9 ft tall sergeant major with titanium robot legs.,Disgruntled Decks: Army Edition,Military
A 9-month denial period,KinderPerfect: Naughty Expansion Pack,Parenthood
A 9/11 truther.,Cats Abiding Horribly: Episode II - A New Low,CAH & Expansions
A 98-year-old WWII Vet who still hates the Japanese.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
A absurd build up of smegma under the foreskin,Pigs Against Profanity: Volume 1,CAH & Expansions
A awkward family dinner.,Carps & Angsty Manatee - Volume 2,CAH & Expansions
A babbling idiot.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,CAH & Expansions
A babe in the woods,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
a baboon's blood,Bards Dispense Profanity,CAH & Expansions
A baby bath shaped like a uterus,Cads About Maternity - A game for bad mommies,Parenthood
A Baby Bjorn.,Fun in the Oven,CAH & Expansions
A baby boomer.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
A baby carrier.,Babies vs. Parents,Parenthood
A baby daddy.,Cats Abiding Horribly: Episode II - A New Low,CAH & Expansions
"A baby dressed as the Pope,",The Catholic Card Game: Base Deck,Catholic
A baby in a weiner costume,Cads About Maternity - A game for bad mommies,Parenthood
A baby orangutan,Cads About Maternity - A game for bad mommies,Parenthood
A baby panda that just can't keep its eyes open.,CAH Saves America Pack,CAH & Expansions
A baby pigeon.,Cows Against Hamburgers - Patty Pack #1,CAH & Expansions
A baby registry filled with nothing but elaborate bongs,Cads About Maternity - A game for bad mommies,Parenthood
A baby seat for your motorcycle,Cads About Maternity - A game for bad mommies,Parenthood
A baby sling made out of martini glasses,Cads About Maternity - A game for bad mommies,Parenthood
A baby that smokes and plays the ukulele,Cads About Maternity - A game for bad mommies,Parenthood
A baby with a full mustache.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
A baby.,Babies vs. Parents,Parenthood
A baby's soiled diapers,The Game Without Decency,CAH & Expansions
A Bach with an empty beer fridge,Kiwis Against Morality,New Zealand
A bachelor's degeree in communications.,CAH College Pack,CAH & Expansions
A bachelor's degree in communication.,Crabs Adjust Humidity: Volume 2,CAH & Expansions
A bachelorette party blackout love child,Cads About Maternity - A game for bad mommies,Parenthood
A back alley blow job,Depravity,Depravity
A back alley C-section,Cads About Maternity - A game for bad mommies,Parenthood
A back-alley abortion from a Mexican cyborg doctor.,CAH Trump Bug Out Bag/Post-Trump Pack,Elections & Donald Trump
"A back, sack and crack wax",Depravity,Depravity
a backdoor slider,Skewered And Roasted,CAH & Expansions
A backside grind,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
a backstabbing cockblocker,Skewered And Roasted,CAH & Expansions
A backstreet abortion with a coat hanger and a cooking whisk,Depravity,Depravity
A bacon cheeseburger.,Words Against Morality: Volume 4,CAH & Expansions
A bad blood-to-stool ratio,JadedAid: A Card Game to Save Humanitarians,Humanitarian
a bad boob job,Skewered And Roasted,CAH & Expansions
a bad boy who needs a good spanking,Evil Apples,CAH & Expansions
a bad boy who peed all over the house,Evil Apples,CAH & Expansions
A bad hair day.,Not Parent Approved,Kids
A bad report card.,Not Parent Approved,Kids
a bad-ass clown,KinderPerfect: A Timeout For Parents (Kickstarter Set),Parenthood
"A badass maroon beret that gets all the pussy. How much pussy, bro?!? ALL the pussy!",Disgruntled Decks: Army Edition,Military
a bag full of cats,Evil Apples,CAH & Expansions
a bag of coke,Skewered And Roasted,CAH & Expansions
A Bag of Dicks,Personally Incorrect,Personal
a bag of dicks,Skewered And Roasted,CAH & Expansions
A bag of dicks.,Cakes Athirst Hilarity Volume 1,CAH & Expansions
A bag of doorknobs.,Crabs Adjust Humidity: Volume 5,CAH & Expansions
A bag of hammers.,Words Against Morality: Volume 2,CAH & Expansions
A bag of magic beans.,CAH Base Set,CAH & Expansions
A bag of magic beans.,Cards Against/For South Africa,South Africa
A bag of pickled socks.,Crabs Adjust Humidity: Volume 5,CAH & Expansions
A bag of tainted shrimp,The Game Without Decency,CAH & Expansions
A Bag Stuffed With Mystery Meat,Personally Incorrect - Expansion [Red Box],Personal
a bait and switch,Skewered And Roasted,CAH & Expansions
A balanced breakfast.,CAH Base Set,CAH & Expansions
A balanced breakfast.,Cards Against/For South Africa,South Africa
A bald eagle named Small Government.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Dirty
A balding sergeant first class with a terrible comb over.,Disgruntled Decks: Army Edition,Military
A ball gag,The Game Without Decency,CAH & Expansions
"A ball of earwax, semen, and toenail clippings.",CAH Base Set,CAH & Expansions
A ball pit filled with elephant testicles.,Cards and Punishment Vol. Two,CAH & Expansions
A ball pit filled with testicles.,Crabs Adjust Humidity: Volume 3,CAH & Expansions
A ball-clinching Swiss seat.,Disgruntled Decks: Army Edition,Military
A banana and two cherries.,Fun in the Oven,CAH & Expansions
A banana hammock,The Game Without Decency,CAH & Expansions
"A banana.  You know, for scale.",Crabs Adjust Humidity: Volume 3,CAH & Expansions
A Band-Aid fetish,KinderPerfect: A Timeout For Parents (Kickstarter Set),Parenthood
A Band-Aid obsession,KinderPerfect (Commercial Set),Parenthood
a bank loan application,Skewered And Roasted,CAH & Expansions
A banter tampon.,"Guards Against Insanity, Edition 5",CAH & Expansions
A bar full of guys wearing plaid.,Carps & Angsty Manatee - Volume 1,CAH & Expansions
a barber's chair that fits all buttocks,Bards Dispense Profanity,CAH & Expansions
a barf bucket,Skewered And Roasted,CAH & Expansions
A barf smoothie,Kids Create Absurdity,Kids
A barracks bunny.,Charlie Foxtrot,Military
A barracks room covered in layers of black mold.,Disgruntled Decks: Army Edition,Military
A Barrel Full of Monkeys,Personally Incorrect,Personal
a barren sister,Bards Dispense Profanity,CAH & Expansions
A baseball bat vasectomy.,Words Against Morality: Volume 1,CAH & Expansions
A basement dweller.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,CAH & Expansions
A basic bitch.,Cats Abiding Horribly: Episode II - A New Low,CAH & Expansions
A basic white girl.,Cards and Punishment Vol. Two,CAH & Expansions
A basket of deplorables.,Clones Attack Hilarity #2,CAH & Expansions
A basketball that screams every time it gets bounced.,CAH Absurd Box Expansion,CAH & Expansions
A bass drop so huge it tears the starry vault asunder to reveal the face of God.,CAH Blue Box Expansion,CAH & Expansions
A bathroom only for poop.,CAH Desert Bus For Hope Pack,CAH & Expansions
A bathtub full of cottage cheese,The Game Without Decency,CAH & Expansions
A bathtub full of Jared from Subway's lost fat that he used as lube with underage girls. (I'm sorry.),The Worst Card Game: 2016 National Edition,CAH & Expansions
A batshit racist butler.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
A battle to the death.,Carps & Angsty Manatee - Volume 2,CAH & Expansions
A BBW woman wearing the Confederate Flag as a dress.,WTF Did You Say?!?,CAH & Expansions
A beached whale.,CAH Fifth Expansion,CAH & Expansions
A bear.,CAH Absurd Box Expansion,CAH & Expansions
A beard longer than 12 inches.,Crabs Adjust Humidity: Volume 1,CAH & Expansions
A beard of pubes glued to your face.,Carps & Angsty Manatee - Volume 1,CAH & Expansions
A bearded clam.,Words Against Morality: Volume 4,CAH & Expansions
A bearded lady.,The Game Without Decency,CAH & Expansions
A bearskin rug,The Game Without Decency,CAH & Expansions
"A beautiful, ever-expanding circle of inclusivity that will never include Republicans.",CAH Vote For Hillary Pack,Elections & Donald Trump
A beautifully enlarged prostate.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
A beautifully plagiarized Inauguration Cake.,Trumped UpCards: Alternative Facts Expansion Pack,Elections & Donald Trump
A bed bug-infested rack.,Disgruntled Decks: Navy Edition,Military
"a bed, a hammock, a hearse, a sentry box, a pulpit, a coach, or any other of those small and snug contrivances in which men temporarily isolate themselves",Dick,CAH & Expansions
A beer bottle,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
a beer snob,Skewered And Roasted,CAH & Expansions
A belly full of hard-boiled eggs.,CAH Food Pack,CAH & Expansions
A Benedict Cumberbatch RealDoll™.,Crabs Adjust Humidity: Volume 3,CAH & Expansions
A benevolent robot babysitter,Cads About Maternity - A game for bad mommies,Parenthood
A Bengay handjob.,Words Against Morality: Volume 1,CAH & Expansions
A Benghazi-themed costume party.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
A bent coat hanger,The Game Without Decency,CAH & Expansions
A bi-sexual woman learning blowjob technique from a gay man.,Carbs of the Huge Manatee - Kink Expansion 1,Dirty
A big black dick strapped to a frail white body.,CAH Pride Pack,CAH & Expansions
A big black dick.,CAH Base Set,CAH & Expansions
A big black dildo.,"Guards Against Insanity, Edition 1",CAH & Expansions
A Big Bottle of Lube,Personally Incorrect,Personal
A big brain full of facts and sadness.,CAH Jew Pack/Chosen People Pack,Jews
a big bush,Skewered And Roasted,CAH & Expansions
A big empty plane with no seats and a bucket to shit in.,Disgruntled Decks: Air Force Edition,Military
A big fat OPSEC fail.,Disgruntled Decks: Air Force Edition,Military
